EGR,FB,phi,AF,P,Tin,T,u,dF,hr,rhoGF,rhoGB,omega0,Yi_H2,Yi_O2,Yi_CH4,Yi_N2,CH4,O2,CO,CO2,H2O,N2
0.0,0.1,1.4999999999999998,0.6666666666666667,99999.99999999997,449.99999999999983,2020.2675769168554,0.2647664039622266,0.000875179098155696,891428243.0099562,0.7158155990442095,0.147103290804262,36.43571488169069,0.0010955089416783063,0.21446943706141627,0.0784644340252354,0.7059706199716701,3.275714365975908e-05,4.1721454027732956e-07,0.08316255192005927,0.03738158888308805,0.17327961849036286,0.6225644777489876
0.0,0.0,1.7999999999999998,0.5555555555555556,99999.99999999999,450.0,1830.7314500078123,0.12907137240133765,0.001620079003644042,231576428.88586664,0.7165632315648932,0.1575146432863271,10.39041779805073,,0.21084027316836568,0.09513525228124418,0.6940244745503901,0.0035514855441863085,7.357975431942051e-09,0.09048515185322212,0.032794775568459764,0.16002261589837175,0.5938786991047792
0.0,0.4,1.1999999999999997,0.8333333333333335,100000.0,450.0,2266.735667260788,1.0154106515611818,0.0003106528216531432,8781692351.51414,0.6959799859922401,0.1371815220029057,287.7908505697592,0.0047251873852251405,0.21876349342809662,0.05640592235861841,0.7201053968280599,2.7511990216367418e-14,0.00031343553626691785,0.040268651004723245,0.050476147239095034,0.20945267081387728,0.6645326228411804
0.0,0.2,1.4999999999999998,0.6666666666666667,99999.99999999997,449.9999999999997,2033.5080640999415,0.2979070300668001,0.0008071980747388323,1065590748.132558,0.7058400296527331,0.14538211449950458,41.90437794028091,0.002387387777086574,0.21474331276736766,0.07599716081261465,0.7068721386429312,1.5362856552207515e-05,5.220732781606805e-07,0.08038847936646722,0.03579771510818543,0.1779183996863105,0.6200914305029249
0.0,0.3,1.4999999999999998,0.6666666666666667,99999.99999999997,449.99999999999994,2049.2157916980877,0.34430071164563036,0.0007288061334322468,1332012689.0738058,0.694258259730819,0.14339659853980738,50.052807568694426,0.00393363340898267,0.21507111372083404,0.07304408942298743,0.7079511634471959,3.3822850798884926e-06,7.37919451208097e-07,0.07705736946361612,0.033989309195229786,0.18335579418127498,0.6172878280276223
0.0,0.4,1.4999999999999998,0.6666666666666667,100000.00000000001,450.0,2068.028598444292,0.4189050895089399,0.0006326580183749796,1808876016.8636398,0.6806500495719592,0.14105282122258134,64.3723698895399,0.005817575519647757,0.21547050564629042,0.06944607405469391,0.709265844779368,9.130031474031558e-08,1.6826690685523375e-06,0.07289434691621867,0.031884938468023906,0.189963925640638,0.6138722993344067
0.0,0.2,1.7999999999999998,0.5555555555555556,99999.99999999997,450.0,1857.816502345234,0.16019790397089112,0.001400705573365123,319305810.3566563,0.6951343033956014,0.1530271112281587,13.26201419465855,0.002820646314879286,0.21142876313591025,0.08978897925371117,0.6959616112954993,0.003093292733471047,1.1904244832766054e-08,0.08702478595969047,0.02958130846835164,0.16631464980644425,0.5871321336385996
0.0,0.1,1.7999999999999998,0.5555555555555556,100000.00000000001,450.0,1843.296763461155,0.14284062932223915,0.0015138161603684833,268991252.14102197,0.7065762118889148,0.15540924210703333,11.652211518606313,0.0012940202938584858,0.21111025312179613,0.09268255703985874,0.6949131695444867,0.0033387336410963487,9.21923409323791e-09,0.08891246722399178,0.03126814640147496,0.16298849370388302,0.5907082323000752
0.0,0.3,1.7999999999999998,0.5555555555555556,100000.0,449.99999999999983,1875.2715901500392,0.18339718640838887,0.0012795653715845902,391081200.3760386,0.681894346567226,0.15024927320004358,15.427864279090588,0.004648789445688329,0.21181018064509655,0.08632390379949473,0.6972171261097205,0.0028063156728739182,1.6085849070519034e-08,0.08464988311472903,0.027686982089543736,0.17024726552091876,0.5829457454379445
0.0,0.4,1.7999999999999998,0.5555555555555556,99999.99999999999,450.0,1897.3518170454083,0.2165228260298796,0.0011454949335041327,502509114.5865045,0.6664037696703589,0.14688672606440736,18.623167935299836,0.00687756450264688,0.21227518462450898,0.08209946775141619,0.698747783121428,0.0024400213985881812,2.331034079967827e-08,0.0816507320312322,0.025522152033098103,0.17501064956218415,0.5778277293599072
