EGR,phi,T,P,CH4,H2,O2,CO,CO2,H2O
0.0,1.0000000000000002,2262.387207792949,500000.1382074736,2.3364627452897406e-10,0.0023214469346782077,0.0035994188895927272,0.006073073424679098,0.08851185932232844,0.18558864907618328
0.0,1.0500000000000003,2260.749020185255,500000.13793087157,4.949160107188919e-10,0.005984319395149677,0.0005548594554491315,0.014485547527649783,0.08377630933227888,0.18966366752530683
0.0,1.1000000000000003,2225.4185654964685,500000.1377252409,1.288085245204349e-09,0.011905496704148663,9.267735121169652e-05,0.02549109532477084,0.07610341420487714,0.19071061703603367
0.0,1.1500000000000004,2184.157238094162,500000.13751538075,3.178411566371127e-09,0.018935107931602194,2.1821018098061532e-05,0.03586944457392609,0.06891676433872673,0.19023380111890165
0.0,1.2000000000000004,2142.4068652568308,500000.1370862445,7.480943334794199e-09,0.026742150930887377,6.285960326630521e-06,0.045194298363899765,0.06268624633398134,0.1887206746577655
0.1,0.8,1990.4236153521526,500000.14117696363,3.8784976269618743e-10,9.445195817293049e-05,0.03825010952539136,0.00023910201634499986,0.08511545646013896,0.15294079754236167
0.1,0.8500000000000001,2064.6178833266695,500000.14103521034,2.885309405081247e-10,0.00019895656505397813,0.02856704442691881,0.0005326061109581072,0.08964577489124473,0.16130293404330442
0.1,0.9000000000000001,2133.912488276786,500000.1409935465,2.341571911426357e-10,0.0004100743052264122,0.019207779828293168,0.0011482756116109533,0.09377860719268105,0.16942084179800312
0.1,0.9500000000000002,2195.5150788279752,500000.14077837433,2.1681735348570016e-10,0.0008637723843884751,0.010490721884418448,0.0024927650437634448,0.09708152303101937,0.17717792595689102
0.1,1.0000000000000002,2239.086391782292,500000.1404915255,2.684973738821771e-10,0.0020491220517204517,0.0034402123752691944,0.005909284450246882,0.09811871347587284,0.1840724414429258
0.1,1.0500000000000003,2235.2272157104385,500000.14032238367,5.996307283376514e-10,0.0054509866727951144,0.0004851841230394418,0.014602285669146106,0.09341770594833985,0.1882256113980319
0.1,1.1000000000000003,2198.039120912431,500000.1401548304,1.6216695594448226e-09,0.010914188754747332,7.763879876808659e-05,0.02600934442721885,0.08562443040344941,0.18954168768886034
0.1,1.1500000000000004,2155.659288191114,500000.13998576545,4.10090931092271e-09,0.01735504592861608,1.7874637209489135e-05,0.03680697795367629,0.07829003365644033,0.18948406233345405
0.1,1.2000000000000004,2113.0172477787196,500000.1400513506,9.858233508452055e-09,0.024501515110002925,5.049705031165566e-06,0.046588368262094754,0.07186532272086725,0.18847113771463406
0.3,0.8,1939.2569520672812,500000.14659752906,5.424415582238507e-10,6.255833320861709e-05,0.037382346387566275,0.0001950799835831235,0.10694563677010548,0.14947635016812466
0.3,0.8500000000000001,2009.3599933392716,500000.146785761,4.0591078836711807e-10,0.0001314803046536294,0.02787977119546673,0.0004340919603923167,0.11261751378203977,0.1575202571871553
0.3,0.9000000000000001,2075.0763332874035,500000.1468661381,3.310137328877971e-10,0.00027156332024152145,0.018676627295298454,0.0009400376117632805,0.11792054350236571,0.16534924520439748
0.3,0.9500000000000002,2134.0373602038185,500000.1469935736,3.0879601230494024e-10,0.0005793724154060582,0.01003673814525356,0.002076367438411224,0.12246468927059288,0.17288102066352348
0.3,1.0000000000000002,2175.8806467872787,500000.1471317874,4.003027598315228e-10,0.0014567133196836798,0.0029587192936893483,0.0052589678409490645,0.12472005556434469,0.179688537520811
0.3,1.0500000000000003,2165.551677428422,500000.1472613568,1.0687320713274956e-09,0.004333294547157381,0.00030663315341609857,0.01463023201106055,0.12015084082176204,0.18386094621211843
0.3,1.1000000000000003,2123.834415490057,500000.1473765502,3.2221484044489516e-09,0.008826623443047294,4.3553147691449234e-05,0.026824850839980666,0.1122967933786838,0.1856444241523008
