EGR,phi,T,P,O2,CO,CO2
0.14482758620689656,0.0,1699.931029298907,1799999.9999999793,0.1796577021178405,5.5622685585074606e-06,0.14482129587358056
0.16551724137931034,0.0,1699.9260757327097,1799999.999999985,0.17531154980744257,6.434816287657423e-06,0.1655099068215174
0.18620689655172412,0.0,1699.921088006311,1799999.9999999697,0.17096541090239087,7.330172971236264e-06,0.18619847598310085
0.20689655172413793,0.0,1699.9160582423244,1799999.9999999802,0.16661928612357096,8.249685468970905e-06,0.20688700118804854
0.22758620689655173,0.0,1699.9109781321545,1799999.99999996,0.16227317625457147,9.19482056167259e-06,0.22757548007803066
0.2482758620689655,0.0,1699.9058388655712,1799999.9999999586,0.15792708214912293,1.0167179334951914e-05,0.2482639100844509
0.2689655172413793,0.0,1699.9006310507996,1799999.9999999544,0.15358100473964795,1.1168513748084138e-05,0.26895228840281976
0.2896551724137931,0.0,1699.895344623183,1799999.999999945,0.14923494504714988,1.2200745793759172e-05,0.28964061196313695
0.3103448275862069,0.0,1699.8899687402154,1799999.9999999264,0.14488890419268188,1.3265989744240315e-05,0.3103288773955533
0.3310344827586207,0.0,1699.8844916600665,1799999.9999999169,0.1405428834107068,1.4366578092449064e-05,0.3310170809903892
0.35172413793103446,0.0,1699.8789006001366,1799999.9999999164,0.13619688406473293,1.5505091939703495e-05,0.35170521865127746
0.37241379310344824,0.0,1699.873181571424,1799999.9999998969,0.13185090766570043,1.6684396764591452e-05,0.3723932858401123
0.3931034482758621,0.0,1699.8673191831356,1799999.9999998782,0.1275049558937502,1.7907684742263785e-05,0.3930812775119527
0.41379310344827586,0.0,1699.861296411044,1799999.9999998873,0.12315903062400856,1.9178525087758605e-05,0.41376918803768026
0.43448275862068964,0.0,1699.8550943206965,1799999.9999998815,0.1188131339575202,2.05009242941897e-05,0.43445701111146023
0.45517241379310347,0.0,1699.8486917346459,1799999.9999998917,0.11446726825838437,2.1879398660293638e-05,0.4551447396395402
0.47586206896551725,0.0,1699.8420648293968,1799999.999999868,0.11012143619876706,2.331906219814381e-05,0.47583236560543857
