EGR,phi,P,Tin,T,u,dF,CH4,H2,O2,CO,CO2,H2O
0.3,1.0,500000.0000000002,300.0000000000001,2172.517505148681,0.1398351735521283,0.00019185124781705056,3.099456222645643e-17,0.0013935660688690773,0.003251329273975446,0.004997448733825486,0.12438620958746684,0.18013058927447456
0.5,0.9,100000.0000000001,300.0,1956.349426754002,0.1793299739829017,0.0007216893978053247,5.8055800961317e-20,0.0005296211465879077,0.018822941434381738,0.0023498675435118595,0.1558361710714205,0.15759893558975432
0.5,1.05,500000.0000000003,299.9999999999995,2050.521475482278,0.08375439727951645,0.00028462192328673107,1.951046656252109e-15,0.003065864090200921,0.00011832566557339686,0.013661793599913399,0.1649124964661402,0.1764035507445391
0.7,0.9,100000.0000000001,300.0,1772.419054999737,0.08370256190828118,0.0012590049553438893,2.848714122683432e-21,0.00017138200141115923,0.016713762547204407,0.0010814087590355148,0.23779299642903218,0.14333486695519912
0.3,0.95,100000.0,299.9999999999999,2094.942562192637,0.2684729375128659,0.000551737082767271,2.0133201307352332e-18,0.0016402895126342702,0.012149888239710565,0.005611982937613424,0.11803817930002403,0.17120976127549375
0.5,1.2,100000.0,299.9999999999998,1907.942982306868,0.1451681659130478,0.0008457341984146305,5.924350259236051e-14,0.014774154788187097,1.7646461758926394e-05,0.049994684416771226,0.1442271460596385,0.18069198365141229
0.7,0.95,100000.0000000001,300.0,1807.142749163971,0.08536133465544034,0.001260349343020554,7.459567375130154e-20,0.00040176379649345867,0.009462009074349879,0.0025929534517323926,0.2460097680105402,0.14887476994833454
0.0,1.15,100000.0,300.0000000000001,2172.534063548303,0.3715528856815986,0.0004380819541956293,1.9341374152864205e-14,0.019424265312776603,0.0001857004625918767,0.036157997369020534,0.06807885883516951,0.1898712605619112
0.5,0.8,100000.0000000001,299.9999999999998,1845.695033167544,0.1491426964823328,0.0008032852891893273,3.2459684840086743e-22,0.00012001471214087744,0.036286061416552814,0.0004923562625174814,0.14279224202269483,0.14348043895131318
0.7,0.95,500000.0000000002,300.0,1825.670175576413,0.02891227281483065,0.0006671152840716735,1.1864247458899078e-21,5.0452214200995426e-05,0.008396564330521992,0.0003284884597491707,0.24858222779595146,0.14977249270623072
