EGR,phi,P,Tin,T,u,dF,CH4,O2,CO,CO2,H2O
0.5,0.8500000000000001,500000.0000000003,300.0,1914.7518410772152,0.10343549478566584,0.0002206083596290443,-3.4471006427794494e-27,0.02716411605811167,0.0002584316640171437,0.15080602080093597,0.1518112909555864
0.7,0.8500000000000001,500000.00000000023,299.99999999999955,1732.2879391252125,0.058463191320779304,0.0003451444815970261,-8.951425722363323e-12,0.024591711255724,6.517294517001683e-05,0.22889910492945578,0.13783570869826045
0.0,0.9000000000000001,100000.00000000007,300.0,2113.7405083243784,0.3151370100846865,0.0005067062453592141,-4.903035041341545e-24,0.02014670444312992,0.0019401450892414021,0.08434730136284684,0.17257732145132476
0.1,0.9000000000000001,100000.00000000006,300.0,2130.149141431502,0.3390068331354023,0.0003817006108589734,-4.923729734952127e-18,0.020588989630074682,0.00236611565836782,0.09209074443534056,0.17127592321016197
0.3,0.9000000000000001,100000.00000000006,300.0,2063.589342807427,0.28862362318589196,0.0004447814042379914,-7.73815361806326e-24,0.019664868758997495,0.0018481447990768747,0.11649760602066336,0.1668997442626559
0.5,0.9000000000000001,100000.00000000006,300.0,1971.497218967863,0.22444994550700195,0.0005234916505140712,-3.8030399006404096e-23,0.01854447091567513,0.001206381913850006,0.15731455835510222,0.15918353572594351
0.7,0.9000000000000001,100000.00000000006,300.0,1779.157038478474,0.12496900256841925,0.000825267476225599,-3.7071884665219577e-22,0.016439556370063498,0.00030983058245075243,0.23880251851634682,0.1440347940432199
0.0,0.9000000000000001,500000.0000000003,300.0,2162.0584633884446,0.1814495798829751,0.00014423392749727512,-1.4187638097595992e-22,0.0201486892300879,0.0012386677686767344,0.08465250947573577,0.17298248927925208
0.1,0.9000000000000001,500000.00000000023,300.0,2138.580984396885,0.17224615764689394,0.00015026289861703969,-3.322884992715516e-24,0.01999282000474364,0.0011578046926541661,0.09335188586287424,0.17137920116055408
0.3,0.9000000000000001,500000.00000000023,300.0,2076.0872682511185,0.1481167884688724,0.00016886423114026238,-2.0760490866842357e-19,0.019320443099205335,0.0009275457735574213,0.11756522201962391,0.1668117881257621
0.5,0.9000000000000001,500000.00000000023,300.0,1975.1873892987837,0.1135246167988124,0.00020639748390468676,-3.967282396521057e-10,0.018335339698756843,0.0005620554716949062,0.1578790473841282,0.15933094335062242
0.7,0.9000000000000001,500000.0000000003,300.0,1780.1608293406132,0.0632574702129822,0.00032641223661479844,-7.029103623830821e-22,0.01633151581556521,0.00014065158282743778,0.23905260584223764,0.1439930956644951
0.0,0.9500000000000002,100000.00000000003,300.0,2141.3742555658514,0.345192547284018,0.0005867366656274588,-7.421179204881684e-26,0.011343930755692452,0.0032733132972653308,0.08711751081976019,0.1812812260604109
0.1,0.9500000000000002,100000.00000000004,299.9999999999999,2111.174275582599,0.23808187192394398,0.0010224122775355504,-4.749777950702062e-22,0.011077543739091488,0.0029376216083054365,0.09653428735421324,0.17949538474829146
0.3,0.9500000000000002,100000.00000000004,300.0000000000001,2125.9542110317743,0.315090392664046,0.00040474206220227223,-4.889212622074273e-25,0.011458532372536858,0.0040126321280649635,0.12016244947194533,0.1745814979617416
0.5,0.9500000000000002,100000.00000000001,300.0000000000002,2022.9036262633606,0.24091985386109824,0.0004993669099743756,-8.24659497826517e-22,0.010429436554177007,0.0025650490815624567,0.16304510591270202,0.16654750069771723
0.7,0.9500000000000002,100000.00000000006,300.00000000000045,1823.173844008726,0.13228758976740218,0.0007962191174721678,-1.5789361381331738e-21,0.008535334036078313,0.0007050640395516736,0.24838225370684358,0.14996219166603994
0.0,0.9500000000000002,500000.00000000035,300.0,2151.7778342834063,0.179272521441996,0.0005226911489424721,-2.7914341879587595e-55,0.010388916947718934,0.001684316102869985,0.08897118780873094,0.1813189257472333
0.1,0.9500000000000002,500000.0000000004,299.9999999999999,2203.4358526889732,0.18698854485506808,0.00014229141540118574,-6.938722409457249e-10,0.011217102782179357,0.0025289918887549086,0.09656476510079637,0.17987340788885264
0.3,0.9500000000000002,500000.00000000035,300.0000000000001,2051.7961083221862,0.18177168756470902,0.00030358701952733127,-7.923927871545243e-36,0.011229310846427067,0.0010369231896710414,0.12120666038348814,0.1768533823165656
0.5,0.9500000000000002,500000.0000000002,300.0000000000002,2031.3833535106735,0.12199135469420656,0.00019713439058415385,-1.8645578083638286e-10,0.009758448656281782,0.0012820185487447259,0.16451894654466137,0.16657713635182214
0.7,0.9500000000000002,500000.00000000023,300.00000000000045,1825.001199184594,0.0669414897613105,0.0003160469312725992,-3.6951462714733953e-23,0.008365014008988361,0.0003249042051901906,0.24874707865448262,0.1500372159111246
0.0,1.0000000000000002,100000.00000000007,300.0,2131.151404974493,0.27988535795169983,0.0010849697409574756,-1.1048162281558244e-21,0.0038709075430155564,0.00522844275545859,0.08758801618393112,0.19164226462595474
0.1,1.0000000000000002,100000.00000000003,300.0,2229.7366690286244,0.39049269441203155,0.0003455028993867538,-2.3168143230815626e-20,0.005190152000923963,0.009665726493655338,0.09394825355547956,0.1875144162977035
0.3,1.0000000000000002,100000.00000000004,299.9999999999999,2163.899286355323,0.33287394304277856,0.00038981869816711906,-6.896963094543837e-10,0.004522867826709913,0.008474039971840992,0.12111019267064611,0.18214925138471466
