Grid Points: ,207, Sl= ,0.3005107714454874
x_axis,u,Temperature,rho,Pressure,N2,H2,H,O2,O,H2O,OH,H2O2,HO2,CO,CO2,CH4,CH3,CH3OH,CH2O,C2H6,C2H4,C2H2,w_N2,w_H2,w_H,w_O2,w_O,w_H2O,w_OH,w_H2O2,w_HO2,w_CO,w_CO2,w_CH4,w_CH3,w_CH3OH,w_CH2O,w_C2H6,w_C2H4,w_C2H2,FwRate_1,RvRate_1,NetRate_1,Heat_release
0.010078124999999999,0.30663899101680786,294.3798754281088,1.448650971771149,129999.99999999999,0.7161435613469609,0.0003888277710701224,2.952299731776669e-19,0.2173218263184066,1.5892902740432535e-12,0.0007668690418933862,6.993088265574246e-14,3.040888907241002e-07,4.2906523676356393e-07,7.769590593426239e-05,1.1789440153125065e-05,0.06528133193972428,2.461398149996971e-16,1.020808045798709e-06,1.632896977137012e-06,9.378988773172035e-07,2.9217873150216302e-06,8.51688855094426e-07,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,120.2914279003645
0.010124999999999999,0.31019459400363736,297.46134558295245,1.4320458219017296,129999.99999999999,0.7159319344497135,0.00046455120771388543,1.2138088781970498e-18,0.21707621208019376,2.5131639494365095e-12,0.00119432559205429,1.7855904622259772e-13,5.374975348857616e-07,7.675177805101476e-07,0.0001383303858040239,2.3515876945798013e-05,0.06515599547698861,6.775839122147232e-16,1.960749609304195e-06,3.101438889017645e-06,1.919877325096372e-06,5.271275576097651e-06,1.576571178799872e-06,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,366.8272575859257
0.0101484375,0.31288412055176035,299.8396433224697,1.4197360720513732,129999.99999999999,0.7157949998124706,0.0005086460052750415,2.705137552316937e-18,0.21689021635646386,3.2420939047034126e-12,0.0015019005743470127,3.021037221153801e-13,7.220241190470173e-07,1.0428026042412965e-06,0.00018694654638052934,3.384174989125639e-05,0.06506242242174716,1.2142185132145836e-15,2.762903754385377e-06,4.343133723155494e-06,2.8034661708385057e-06,7.175574237973374e-06,2.176625269386218e-06,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,653.0764246771324
0.010171874999999999,0.31649297884064187,303.06817329444215,1.4035473202173716,129999.99999999999,0.7156326748527932,0.0005573683924585003,6.278696484490784e-18,0.21664042430352942,4.255339030970067e-12,0.0018975983633369887,5.196214781015944e-13,9.764392625604334e-07,1.4316303912032767e-06,0.00025478404332943984,4.932687894068033e-05,0.06493829004244192,2.2582162670717544e-15,3.937014371729076e-06,6.14764734344008e-06,4.151040252358036e-06,9.85476912710534e-06,3.034577644086092e-06,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,1173.025060244744
0.010195312499999998,0.3213265628328535,307.43287587563304,1.3824343322355712,129999.99999999999,0.7154418345484741,0.0006110423877399806,1.5338846866290256e-17,0.21630532438643982,5.694847004427181e-12,0.002404605900831162,9.181276441381415e-13,1.3244397864685135e-06,1.9804653761421403e-06,0.00034901499444073427,7.243538791789071e-05,0.06477397387568859,4.42900874471969e-15,5.647358620458221e-06,8.757674591527002e-06,6.196011725959251e-06,1.3606991285153402e-05,4.2555704644528805e-06,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,2106.611002535111
0.010218749999999999,0.3277783867085394,313.30201590170947,1.3552231944883293,129999.99999999999,0.7152198460952882,0.0006699403305809924,3.9912572254064475e-17,0.21585702100637175,7.793962346107373e-12,0.0030508117510219903,1.6865852575965417e-12,1.7954992687122578e-06,2.754322128744803e-06,0.0004791381818345124,0.00010670014030697716,0.06455726722240787,9.335423935300167e-15,8.123345939710944e-06,1.2509492630465075e-05,9.279140503434412e-06,1.8830763752123673e-05,5.982698474516676e-06,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,3750.233052033
0.0102421875,0.33634515029427314,321.13985938168054,1.320705447754251,129999.99999999999,0.7149650672543517,0.0007342494017482667,1.1262489115031613e-16,0.21526005957394306,1.0947836338069136e-11,0.0038688880735254245,3.269051719225749e-12,2.4245740025614744e-06,3.84351723621761e-06,0.0006574713714551663,0.00015709119383240715,0.06427302252680105,2.16412396232005e-14,1.1679146910977811e-05,1.7859947856269106e-05,1.3888731224951049e-05,2.6047859914472477e-05,8.40681295872899e-06,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,6563.423725825924
0.010265624999999999,0.34763719430597806,331.51573735919766,1.2778059413527016,129999.99999999999,0.7146774593078438,0.000804034151559973,3.5445238975010285e-16,0.21447051930996194,1.5844656252092833e-11,0.004895842692388548,6.79650264519975e-12,3.2504513314213623e-06,5.372050756024266e-06,0.000899570624041269,0.0002304367188392476,0.06390295711731708,5.663110541545658e-14,1.673462479607549e-05,2.541455176533485e-05,2.070842463005975e-05,3.592385548451185e-05,1.177609658653164e-05,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,11203.975157065848
0.010289062499999998,0.36237919664342394,345.10360645317286,1.2258233265980158,129999.99999999999,0.7143592400762179,0.0008792011525832591,1.3149469241042096e-15,0.21343568518864367,2.3715382821512144e-11,0.00617185885727839,1.5387810360850063e-11,4.312197112721009e-06,7.507138036008694e-06,0.001224457342323604,0.00033585166307945746,0.06342574630822274,1.7155649837896657e-13,2.383448112997603e-05,3.5952139488019555e-05,3.066868705986397e-05,4.928123320180162e-05,1.6403496346623746e-05,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,18521.56871001
0.010312499999999999,0.3813952630300379,362.66663287922006,1.164704744338613,129999.99999999999,0.7140154398175015,0.000959475135491557,6.450195845503021e-15,0.21209461152092715,3.6821327888283506e-11,0.007738364234843581,3.834048943365645e-11,5.643530418292514e-06,1.0468580761520735e-05,0.0016545233245872496,0.0004851011206220299,0.06281750790558693,6.099944965847489e-13,3.3661249448489515e-05,5.043990770582614e-05,4.499479167176783e-05,6.70991740639756e-05,2.2669630592238785e-05,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,29485.325987259657
